순번,침수 원인(FLUD_CAUSE),침수 지구 명(F_DSTRC_NM),침수 재해 명(F_DSSTR_NM),침수 원인 상세(F_CUE_DTL),행정구역 코드(ADM_CD),침수위(FLUD_WAL),Latitude,Longitude
35615,1,남방동지구2,경기북부지역 집중호우,내수침수,경기도 양주시 남방동,74.7,37.774666,127.0379139
35623,1,남방동지구2,경기북부지역 집중호우,내수침수,경기도 양주시 남방동,74.7,37.774666,127.0379139
35630,1,남방동지구1,경기북부지역 집중호우,내수침수,경기도 양주시 남방동,74.7,37.774666,127.0379139
35634,1,광사동지구,경기북부지역 집중호우,내수침수,경기도 양주시 광사동,85.5,37.7917803,127.0712148
35644,1,덕평3지구,7.28. ~ 8.11. 집중호우,내수침수,경기도 여주시 점동면 덕평리,53.9,37.178931,127.6539866
35664,1,봉담지구,7.28~8.11 집중호우,내수침수,경기도 화성시 봉담읍 왕림리,73.5,37.1950803,126.9395524
35674,1,가능11지구,2020년 집중호우 침수,내수침수,경기도 의정부시 가능동,44,37.7387661,127.0159233
35676,1,의정부동 2지,2020년 집중호우 침수,내수침수,경기도 의정부시 의정부동,44.5,37.7355459,127.0412962
35696,1,용현4지구,2020년 집중호우 침수,내수침수,경기도 의정부시 용현동,64.3,37.7310618,127.0803266
35699,1,금오3지구,2020년 집중호우 침수,내수침수,경기도 의정부시 금오동,41.4,37.7565525,127.0660432
35710,1,은행1지구,8월15일 집중호우,도로배수불량,경기도 시흥시 은행동,11.3,37.4363807,126.7980184
35711,1,은행1지구,8월15일 집중호우,도로배수불량,경기도 시흥시 은행동,21.5,37.4363807,126.7980184
35716,1,신천2지구,8월15일 집중호우,도로배수불량,경기도 시흥시 신천동,13.8,37.4387291,126.7810609
35722,1,풍산지구1,7.28~8.11. 호우,집중호우에 의한 내수침수,경기도 하남시 풍산동,22.6,37.5494849,127.1864773
35983,1,"왕산,갈담지구",7.28~8.11 호우,내수침수,경기도 용인시 처인구 모현읍 갈담리,54.7,37.3255667,127.2373435
35986,1,백암지구,7.28~8.11 호우,내수침수,경기도 용인시 처인구 백암면 백암리,100.9,37.1708978,127.3760357
35994,1,죽능지구,7.28~8.11호우,내수침수,경기도 용인시 처인구 원삼면 죽능리,83.5,37.1393243,127.3083386
36001,1,두창지구,7.28~8.11호우,내수침수,경기도 용인시 처인구 원삼면 두창리,105,37.1460869,127.3387256
36028,1,오천1지구,7.28~8.11 집중호우,배수불량으로 인한 내수침수,경기도 이천시 마장면 오천리,104.7,37.2478377,127.3539313
36047,1,북두지구,7.28~8.11 집중호우,집중호우로 인한 내수침수,경기도 이천시 율면 북두리,81.5,37.0686426,127.5301635
36052,1,풍계지구,7.28~8.11 집중호우,집중호우로 인한 내수침수,경기도 이천시 장호원읍 풍계리,58.4,37.1478615,127.6172501
36053,1,진암지구,7.28~8.11 집중호우,집중호우로 인한 내수침수,경기도 이천시 장호원읍 진암리,70.5,37.1093063,127.6118978
36054,1,대연1지구,집중호우에 의한 침수피해,,부산광역시 남구 대연동,13,35.1414268,129.0932454
36057,1,연제구 연산동 302-1,태풍 하이선,내수침수,부산광역시 연제구 연산동,1.2,35.1816156,129.0882418
36182,1,대차지구,집중호우에의한침수,집중호우에따른침수,전라북도 무주군 무주읍 대차리,173.5,36.0113184,127.630752
36183,1,용포지구,집중호우에의한침수,집중호우에따른침수,전라북도 무주군 무주읍 용포리,173.5,35.9859984,127.6191219
36187,1,대차지구,집중호우에의한침수,집중호우에따른침수,전라북도 무주군 무주읍 대차리,175.5,36.0113184,127.630752
36188,1,대차지구,집중호우에의한침수,집중호우에따른침수,전라북도 무주군 무주읍 대차리,175.5,36.0113184,127.630752
36190,1,용포지구,태풍마이삭·하이선에의한침수,태풍마이삭·하이선에따른침수,전라북도 무주군 무주읍 용포리,184.5,35.9859984,127.6191219
36196,1,오산지구,집중호우에의한침수,집중호우에따른침수,전라북도 무주군 무주읍 오산리,196.5,36.0335108,127.6851553
36209,1,내도지구,집중호우에의한침수,집중호우에따른침수,전라북도 무주군 무주읍 내도리,183.5,36.0424037,127.6447139
36212,1,내도지구,집중호우에의한침수,집중호우에따른침수,전라북도 무주군 무주읍 내도리,242.5,36.0424037,127.6447139
36223,1,가옥지구,집중호우에의한침수,집중호우에따른침수,전라북도 무주군 무주읍 가옥리,194,35.9733514,127.6465986
